Gene Id. ,Put1,Put2,Put3,Put avg Fold change,Put Log Fold change,P-val Put,tSpm1,tSpm2,tSpm3,tSpm avg Fold change,tSpm Log Fold change,P-val tSpm
AT5G43520,"3,44","2,55","3,99","3,33","1,73","0,00E+00","4,82","3,81","4,34","4,33","2,11","0,00E+00"
AT2G28160,"3,18","2,19","3,53","2,97","1,57","0,00E+00","3,60","2,52","3,67","3,26","1,71","0,00E+00"
AT4G21990,"3,51","2,35","3,49","3,12","1,64","0,00E+00","4,16","3,39","4,36","3,97","1,99","0,00E+00"
AT5G43580,"3,84","2,52","3,48","3,28","1,71","0,00E+00","2,54","1,49","2,64","2,22","1,15","7,82E-07"
AT1G65480,"3,35","2,66","3,96","3,32","1,73","1,12E-09","1,77","0,98","2,06","1,60","0,68",
AT2G19060,"3,60","2,09","3,13","2,94","1,55","9,98E-10","3,39","2,27","3,63","3,10","1,63","1,26E-09"
AT3G49580,"3,61","2,22","3,95","3,26","1,70","8,04E-12","3,20","2,37","3,63","3,07","1,62","4,67E-12"
AT4G40020,"3,89","2,20","3,52","3,21","1,68","6,88E-07","1,43","1,84","1,79","1,68","0,75",
AT2G22850,"3,40","2,68","3,49","3,19","1,67","3,27E-07","2,18","0,17","0,48","0,94","-0,08",
AT2G32660,"3,83","2,13","3,58","3,18","1,67","2,61E-13","3,14","2,84","3,52","3,17","1,66","2,40E-08"
AT1G15040,"3,89","2,47","3,01","3,12","1,64","0,00E+00","4,93","3,32","4,20","4,15","2,05","0,00E+00"
AT1G26420,"3,53","2,57","3,89","3,33","1,74","6,94E-11","3,89","2,60","3,97","3,48","1,80","8,87E-07"
AT4G23550,"3,86","2,02","3,53","3,14","1,65","0,00E+00","4,33","3,12","4,65","4,03","2,01","0,00E+00"
AT4G22070,"3,65","2,32","3,62","3,20","1,68","0,00E+00","3,82","2,84","3,61","3,42","1,77","0,00E+00"
AT3G45840,"3,88","2,06","3,54","3,16","1,66","2,27E-08","4,54","3,95","4,58","4,36","2,12","1,50E-11"
AT4G03460,"3,88","2,14","3,83","3,28","1,72","1,63E-12","4,30","3,34","4,73","4,12","2,04","1,67E-14"
AT1G18745,"3,07","2,69","3,83","3,20","1,68","7,44E-15","1,75","2,12","1,95","1,94","0,96",
