"my_symbol","my_go"
"At4g03460","GO:0016020"
"At4g03460","GO:0016021"
"At4g08555","GO:0005575"
"At4g08555","GO:0008150"
"ATL21A","GO:0030247"
"ATL21A","GO:0016740"
"ATL21A","GO:0046872"
"ATL21A","GO:0016020"
"ATL21A","GO:0016021"
"ATL21A","GO:0016567"
"ATL35","GO:0016740"
"ATL35","GO:0046872"
"ATL35","GO:0016020"
"ATL35","GO:0016021"
"ATL35","GO:0016567"
"CYP707A3","GO:0010295"
"CYP707A3","GO:0004497"
"CYP707A3","GO:0016491"
"CYP707A3","GO:0016709"
"CYP707A3","GO:0009687"
"CYP707A3","GO:0016125"
"CYP707A3","GO:0005506"
"CYP707A3","GO:0020037"
"CYP707A3","GO:0016705"
"CYP707A3","GO:0046872"
"CYP707A3","GO:0016020"
"CYP707A3","GO:0016021"
"CYP707A3","GO:0009414"
"CYP707A3","GO:0046345"
"CYP707A3","GO:0009639"
"CYP707A3","GO:0071456"
"CYP81F2","GO:0016020"
"CYP81F2","GO:0016709"
"CYP81F2","GO:0005506"
"CYP81F2","GO:0020037"
"CYP81F2","GO:0016705"
"CYP81F2","GO:0006952"
"CYP81F2","GO:0004497"
"CYP81F2","GO:0016491"
"CYP81F2","GO:0046872"
"CYP81F2","GO:0016021"
"CYP81F2","GO:0042343"
"CYP81F2","GO:0052544"
"CYP81F2","GO:0019760"
"CYP81F2","GO:0002213"
"CYP81F2","GO:0009759"
"CYP81F2","GO:0009682"
"CYP81F2","GO:0009617"
"CYP81F2","GO:0050832"
"CYP81F2","GO:0042742"
"CYP81F2","GO:0071456"
"ERF019","GO:0003677"
"ERF019","GO:0003700"
"ERF019","GO:0006355"
"ERF019","GO:0005634"
"ERF019","GO:0009873"
"ERF019","GO:0042631"
"ERF019","GO:0005737"
"ERF019","GO:0000976"
"ERF019","GO:0009620"
"EXPA17","GO:0010311"
"EXPA17","GO:0009828"
"EXPA17","GO:0005576"
"EXPA17","GO:0009664"
"EXPA17","GO:0071555"
"EXPA17","GO:0016020"
"EXPA17","GO:0005618"
"FOX1","GO:0005618"
"FOX1","GO:0016491"
"FOX1","GO:0071949"
"FOX1","GO:0050660"
"FOX1","GO:0005783"
"FOX1","GO:0005576"
"FOX1","GO:0000166"
"FOX1","GO:0005886"
"FOX1","GO:0016020"
"FOX1","GO:0071456"
