"","cod_punt","longitud","latitud","dseq","etott","iha","osc1","osc2","pin","po","pp","ptt","pv","sdef","ssup","ta","tmaxc","tmc","tmf","tminf","cur_md","ins","mde","orien","pte","arc","are","ca","cic","cod_hid","crad","lim","mo","mo_sup","n_sup","ph","ps","psb","textura","tf"
"pv",0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,5.35346877938991e-10,0,0,0,0,0,0,1.27957353712738e-06,0,0,0,0,0,0,1.11022302462516e-15,8.88178419700125e-16,0
"sdef",0,0.461039514226603,6.03543129695794e-07,0,0,0,2.4868926917776e-09,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,4.50291482152476e-05,0,0.60473347718539,0,5.7891721268355e-05,0,5.03597163969971e-13,0,0,0,0,0,0,0,0,8.68983818236302e-09,0
"ssup",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,6.70334016206198e-06,0,0,0,9.63643254081603e-09,0,0,0,6.64741967248972e-06,0,0,0,0,0,0,0,0
"ta",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,9.09984532171393e-10,0,1.35695898961785e-11,0,0,0,0,0.142360978624665,0,0,0,0,0,0,0.105655177992463,0,0
"tmaxc",0.102450830584023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0.112429358579357,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00266943636700945,1.68354219454159e-11,0
"tmc",0,0,0,0,0,0,1.77324421697378e-05,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0.000108083564078321,0,0,0,0,0,0,0,0,0,0,0,0,0,1.28340455942677e-05,0,0
"tmf",1.40091712452772e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1.85551574105602e-10,0,1.31439026240798e-06,0,0.21121516790515,0,0,1.24269252665954e-08,0,0,0,0,0,0,0.388362194031729,4.51789405886416e-09,0
"tminf",0.0281698506500125,0,0,0,0,0,0,0,0.0858601632787674,1.32758648518916e-09,0,0,0,0,0,0,0,0,0,NA,1.11022302462516e-14,0,0,2.71468037604805e-07,0,0,0,0.584080763960579,3.27726082938185e-07,0,5.1183279836664e-11,0,0,0,0,0,0,8.15788009056462e-06,0.00320136140312322,0
"cur_md",0.0667305412568169,0.0288841327521627,7.98130052990231e-05,1.31549442006218e-07,0,0,2.97804739153307e-05,1.98166816289813e-10,4.44089209850063e-16,0,0,0,0,0,0,0,0,0,0,1.11022302462516e-14,NA,0,0,0.558537032060725,0,7.75191022484023e-10,6.74937455154012e-05,5.30615261951084e-07,0.00730078002836132,0.0170623536513013,0,0.729407537931348,0,0,0.0234905158519738,0.00164032125831559,3.42808004205608e-11,0.513744380543284,0.318232092844984,0.740234969529808
"ins",0.0212246347879468,0,0.0119959541491346,0,0,0,0,9.7875744962117e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0.159682255297283,0,8.88178419700125e-16,0,0.000496868816350471,0,5.10702591327572e-15,5.43293112720278e-08,0,0,0,0,8.05637068168608e-09,2.15473009212985e-07,0.188995558549143,0,0
"mde",4.04654088015377e-12,0,1.29222036626686e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1.4344081478157e-13,0,0,0,0,0,0,0.969356872561914,0,0,0,0,0,0,0.0856805142211905,4.44089209850063e-16,0
