"","cod_punt","longitud","latitud","dseq","etott","iha","osc1","osc2","pin","po","pp","ptt","pv","sdef","ssup","ta","tmaxc","tmc","tmf","tminf","cur_md","ins","mde","orien","pte","arc","are","ca","cic","cod_hid","crad","lim","mo","mo_sup","n_sup","ph","ps","psb","textura","tf"
"pp",-0.31503314218117,-0.225580398263392,0.141063496508039,-0.662763113093626,-0.344955905365575,0.909006715838215,0.148568140704598,0.0830865255346253,0.929784489306167,0.92234819826365,1,0.973182789586724,0.679606835560311,-0.746049867364124,0.920142082569115,-0.483318906600292,-0.21177998450958,-0.434227764223407,-0.426689083051421,-0.314259052520583,0.0748235924011939,-0.129399518198413,0.429664147761313,0.0451040006430209,0.529207318913477,0.209586669616635,-0.167625360269429,0.140123949887991,0.265971484214408,-0.122328906356643,-0.115252044973785,0.0382441898356405,0.421278360873584,0.520141135751935,0.330081811762021,-0.292761208612249,-0.213548002561945,-0.178681896300434,-0.0797066625444372,-0.27774666642047
"ptt",-0.361672848044173,-0.393854449802344,0.0670321690099403,-0.630821810715527,-0.291547344076178,0.913276861304927,-0.00419669007163883,-0.0259060902925106,0.986190640842951,0.978833171546711,0.973182789586724,1,0.567504282090157,-0.712528516407737,0.931791200336271,-0.348954475792562,-0.175048713495287,-0.361408683613202,-0.266619209302967,-0.146852060222781,0.0734342496874049,-0.103234367053322,0.286196401228041,0.0237125842481216,0.442066586745083,0.231842655859582,-0.129051868719267,0.131877474992011,0.27459586600651,-0.0702481892343755,-0.147516538156941,-0.0464806972084135,0.342564539942487,0.43454786802907,0.322780554664966,-0.374538570343624,-0.134586652723334,-0.231622054633782,-0.0782347121969462,-0.20272398595186
"pv",-0.160360685451549,0.136313541909354,0.557295646979797,-0.642403132038332,-0.242166409072561,0.545643149755421,0.622858653915448,0.508848957753627,0.446375414905436,0.473446738402508,0.679606835560311,0.567504282090157,1,-0.574922264443636,0.511445183135945,-0.754835304022819,-0.151497579260508,-0.511653449599994,-0.812797363108684,-0.761266075522531,0.0680651405009388,-0.149104206127954,0.710892880246785,0.049695997056992,0.431770704576954,0.100369946589797,-0.227691190762015,0.168417642136351,0.235970442333817,-0.191507264396709,0.0387751931979182,0.250489315588541,0.492793486048472,0.561446820046172,0.303107239882124,-0.141939412086186,-0.336763253042427,-0.0640777581667192,-0.0644936743143572,-0.262869550774089
"sdef",0.242072564422099,0.00590412758344172,0.0399526734513116,0.675845111514151,0.670701667101966,-0.78748969414469,-0.0477286453144132,0.0752192240778018,-0.66121609618069,-0.680110966328156,-0.746049867364124,-0.712528516407737,-0.574922264443636,1,-0.704164633355334,0.603054345060114,0.487670857640153,0.631253543851375,0.50380879192346,0.405480134565438,-0.0737177744405919,0.159660326644812,-0.571894057501658,-0.0326707864209681,-0.530130468880228,0.00414580492167224,0.103803115269462,0.0322002701145739,-0.176661468391972,0.0578155927995688,0.20237115489468,-0.167951178892501,-0.480924171529673,-0.528834540528652,-0.353643417218797,0.143903313894738,0.379747477805083,0.13454406190876,0.0460668777267453,0.303805189214328
"ssup",-0.289336583406716,-0.197931600140512,-0.0902235588303566,-0.46824693605484,-0.503160965862994,0.978644449922603,-0.0809622655627079,-0.168293040678814,0.916280940145274,0.906849829569926,0.920142082569115,0.931791200336271,0.511445183135945,-0.704164633355334,1,-0.431802061299023,-0.377522211691006,-0.489543110716445,-0.309029571003987,-0.182514068054664,0.107871914005194,-0.152387176901327,0.390638522443917,0.0360547554989973,0.517211683549401,0.187136992431015,-0.150890230514994,0.0459269837537554,0.281815038392443,-0.0962506144633899,-0.140155584671968,0.036068993619982,0.420401722228217,0.512179275652957,0.345285816895832,-0.225287786020062,-0.23253117028319,-0.219223695370367,-0.0861821791480749,-0.251074701658451
"ta",0.0855511011584799,-0.466825527270479,-0.0718355387249128,0.495059071187859,0.609321924573881,-0.519335709038844,-0.421502287461914,-0.224204846291826,-0.231902281872092,-0.269346510747765,-0.483318906600292,-0.348954475792562,-0.754835304022819,0.603054345060114,-0.431802061299023,1,0.620673673705826,0.8879405176791,0.954012067199189,0.897974788547108,-0.11813025005718,0.128377296531859,-0.988516615270946,-0.0490249896927294,-0.50910737254833,0.054124774068259,0.228609328429818,0.102052446605591,-0.149098159589813,0.17924587994788,0.0117501469232843,-0.418351043575781,-0.620939947514487,-0.653166396220412,-0.270425549234971,-0.162183920948643,0.46999970478902,0.0129592924206685,0.074851493995671,0.317367922384072
"tmaxc",0.0130798374602205,-0.405907123233225,0.601385949776344,0.130829716196168,0.881523080962477,-0.457545054058942,0.379384468003352,0.600640864907659,-0.139025125853811,-0.180218049791228,-0.21177998450958,-0.175048713495287,-0.151497579260508,0.487670857640153,-0.377522211691006,0.620673673705826,1,0.868949860339585,0.385368888927646,0.298600334015765,-0.12074651788574,0.0736154012402822,-0.638631599912439,-0.0127136951328032,-0.385360995451932,0.187546115748119,0.0855757982816264,0.347070527924742,-0.110005086099542,0.0773588450865063,0.140995175037096,-0.336795609371453,-0.565807866645827,-0.538729178700361,-0.277087498443084,-0.315218875596875,0.445817209277182,-0.0240529482090534,0.0538745920553046,0.250156992354569
"tmc",0.115599219163161,-0.343288212115752,0.294472857088042,0.394198473398377,0.771093704486634,-0.580179746877717,0.0343645819499157,0.198108320483187,-0.284391945752962,-0.331017626210389,-0.434227764223407,-0.361408683613202,-0.511653449599994,0.631253543851375,-0.489543110716445,0.8879405176791,0.868949860339585,1,0.721969852716536,0.646007786682598,-0.142837628869341,0.103036120438204,-0.869595643727458,-0.0310032974985015,-0.47073142149574,0.123176304599563,0.157092022510972,0.298000322186412,-0.124306375353626,0.0917021276065592,0.105720415482203,-0.380093957472079,-0.640260748789483,-0.639843222667516,-0.306866898897723,-0.176813613709642,0.47199312964167,0.0349346185508462,0.0805336119380666,0.235897198402089
"tmf",0.0421529172319265,-0.502249283545146,-0.313174377969643,0.487023408213136,0.418852109432371,-0.388872642100396,-0.666705644895512,-0.491539306049777,-0.136118980191293,-0.16587234794699,-0.426689083051421,-0.266619209302967,-0.812797363108684,0.50380879192346,-0.309029571003987,0.954012067199189,0.385368888927646,0.721969852716536,1,0.97811865869755,-0.0833767848512304,0.126719537441595,-0.944133802106087,-0.0510108301018818,-0.469426492609,0.0387325104085917,0.223424020079841,-0.0100136209939889,-0.110055785177391,0.198637847560679,-0.0455811638473543,-0.393604457290186,-0.528636048561709,-0.570652000203591,-0.211444224288871,-0.131071645745763,0.420933990100413,-0.00690894407200515,0.0469426748563552,0.312096022235993
"tminf",-0.0175790535581381,-0.545627076169129,-0.370657799084709,0.409230308052939,0.321150439812303,-0.259199636855471,-0.716924584283857,-0.583691931968769,-0.0137570818562882,-0.0485418670813781,-0.314259052520583,-0.146852060222781,-0.761266075522531,0.405480134565438,-0.182514068054664,0.897974788547108,0.298600334015765,0.646007786682598,0.97811865869755,1,-0.0618328618928324,0.117026031719546,-0.88956857677039,-0.0411699903260713,-0.427715762872914,0.0862335699330712,0.184000746712695,0.00438471388038687,-0.0408861067616239,0.164150036391026,-0.0525664152687898,-0.382680775912087,-0.46329484345865,-0.491528088444747,-0.158955745100679,-0.152306132094409,0.401440523913069,-0.0357194864800744,0.0236067475877776,0.263124065086
